id,medium,url,headline,kicker,teaser,llm_topic,baseline_topic
417,tagesschau-faktenfinder,https://www.tagesschau.de/faktenfinder/straftaten-sexuelle-selbstbestimmung-100.html,Warum die Zahl der Sexualstraftaten gestiegen ist,Irreführende Grafik,"Im Netz wird eine Grafik geteilt, die einen starken Anstieg der Sexualstraftaten in den vergangenen Jahren zeigt. Allerdings wurde das Strafrecht in der Zeit mehrmals geändert, weshalb ein Vergleich kaum möglich ist.",Sexualstraftaten,Politik & Regierung
416,tagesschau-faktenfinder,https://www.tagesschau.de/faktenfinder/ampelkoalition-116.html,Von der Ampel zum Great Reset,Gerüchte zum Koalitionsende,"Rund um den Bruch der Ampelkoalition werden in den sozialen Netzwerken Videos aus dem Zusammenhang gerissen, manipulierte Fotos geteilt und Gerüchte gestreut. Nicht alle sind harmlos.",Verschwörungstheorien,Verschwörungstheorien
334,tagesschau-faktenfinder,https://www.tagesschau.de/faktenfinder/kontext/zucker-weizen-alternativen-100.html,Zuckeralternativen sind nicht zwingend gesünder,Gesundheitsmythen,"Besonders in der Weihnachtszeit wird viel gebacken. Um vermeintlich gesünder zu essen, verzichten einige dabei auf raffinierten Zucker - und ersetzen ihn durch Alternativen wie Honig. Ein Trugschluss, sagen Experten.",Ernährung,Gesundheit & Wissenschaft
377,tagesschau-faktenfinder,https://www.tagesschau.de/faktenfinder/kontext/rechte-ki-influencer-100.html,"Rechts, weiblich, Fake",Künstliche Intelligenz im Wahlkampf,"Profile von vermeintlichen jungen Frauen mischen im Wahlkampf mit. Sie äußern sich politisch eher rechts und geben an, die AfD bei der Bundestagswahl zu wählen. Das Problem: Sie sind KI-generiert.",Künstliche Intelligenz,Künstliche Intelligenz
337,tagesschau-faktenfinder,https://www.tagesschau.de/faktenfinder/usa-trump-ukraine-106.html,Welche Behauptungen von Trump falsch sind,Krieg gegen die Ukraine,"Seit Wochen übt US-Präsident Trump Druck auf die Ukraine und ihren Präsidenten Selenskyj aus. Dabei stellt er zahlreiche Falschbehauptungen auf, um Selenskyj zu diskreditieren und die Rolle der USA zu überhöhen.",Ukraine-Krieg,Ukraine-Konflikt
350,tagesschau-faktenfinder,https://www.tagesschau.de/faktenfinder/prognos-umfragen-prgonosen-102.html,Wie man sich eine Wahl projiziert,Zweifelhafte Umfrageergebnisse,"Ein X-Account veröffentlicht ""Projektionen"" zu den voraussichtlich 2029 stattfindenden Bundestags- und Europawahlen. Obwohl er nicht zum ersten Mal mit zweifelhaftem Vorgehen auffällt, erzielt er damit Aufmerksamkeit.",Wahlumfragen,Wahlen & Wahlkampf
324,tagesschau-faktenfinder,https://www.tagesschau.de/faktenfinder/iran-israel-fakes-100.html,KI-generierte Fakes und alte Videos im Umlauf,Krieg in Nahost,"Die Eskalation zwischen Israel und dem Iran wird von vielen Falschbehauptungen im Netz begleitet. Vor allem KI-generierte Bilder und Videos befinden sich darunter, aber auch Material, das in anderem Zusammenhang entstanden ist.",Nahost-Konflikt,Krisengebiete & Geopolitik
338,tagesschau-faktenfinder,https://www.tagesschau.de/faktenfinder/kontext/religioese-fussball-influencer-100.html,Wie religiöse Organisationen Fußball-Profis für ihre Missionsarbeit nutzen,Social Media,"Einige Fußballprofis zeigen ihren Fans gerne, wie wichtig ihnen ihr Glaube ist. Die Wirkung dieser Stars auf junge Zielgruppen nutzen einige Organisationen auch für die Missionierung auf Social Media oder in Schulen. Zwei dieser Organisationen haben Verbindungen zu evangelikalen Kirchen mit teils fragwürdigen Ansichten.",Evangelikale Missionierung,Extremismus & Sicherheit
629,tagesschau-faktenfinder,https://www.tagesschau.de/faktenfinder/todesgeruechte-trump-100.html,,,"""Wie haben Sie herausgefunden, dass Sie tot sind?"", fragt ein Journalist kürzlich bei einer Pressekonferenz den US-amerikanischen Präsidenten. ""Haben Sie das mitbekommen?"" Trump verneint erst, sagt dann jedoch, dass er davon gehört habe und es ""verrückt"" sei.",Gesundheit von Politikern,Gesundheit & Wissenschaft
622,tagesschau-faktenfinder,https://www.tagesschau.de/faktenfinder/fakes-selenskyj-100.html,,,"""Der Warlord lebt auf großem Fuss!"" - schreibt ein reichweitenstarker Nutzer auf der Plattform X. Dazu postet er ein Bild des ukrainischen Präsidenten Wolodymyr Selenskyj neben dem Präsidenten des Europäischen Rates, António Costa. Der Fokus des Bildes liegt auf den Schuhen des ukrainischen Präsidenten, die extra in einem Bildausschnitt hervorgehoben werden. Zu sehen sind sehr hohe Absätze, mit denen sich Selenskyj offenbar größer machen möchte, so der Tenor. Doch das Bild ist ein Fake.",Desinformation Ukraine-Krieg,Ukraine-Konflikt
241,br-faktenfuchs,"https://www.br.de/nachrichten/deutschland-welt/wie-rede-ich-mit-freunden-und-familie-ueber-falschmeldungen,S2dGv0s",Wie rede ich mit Freunden und Familie über Falschmeldungen?,,Über Whatsapp oder auf der Straße – wohl die meisten von uns haben in der Corona-Krise schon zweifelhafte Informationen oder Verschwörungsmythen von Freunden oder Verwandten geschickt bekommen. Wie kann man damit umgehen? Ein #Faktenfuchs,Desinformation und Kommunikation,Desinformation & Falschmeldungen
315,br-faktenfuchs,"https://www.br.de/nachrichten/deutschland-welt/ukraine-krieg-fehlinformationenauch-ueber-den-konflikt-hinaus,Sz7E4JR",Ukraine-Krieg: Fehlinformationen auch über den Konflikt hinaus,,"Neben den Bildern und Informationen aus der Ukraine, die häufig nicht verifiziert sind, verbreiten sich auch andere Fehlinformationen rund um den Krieg im Netz. Der #Faktenfuchs schaut auf drei Beispiele und erklärt häufige Phänomene.",Ukraine-Krieg,Ukraine-Konflikt
300,br-faktenfuchs,"https://www.br.de/nachrichten/wissen/faktenfuchs-sterben-voegel-durch-windraeder,TAntN2S",Sterben Vögel durch Windräder?,,"Vögel sterben durch Windräder - das behaupten Windkraft-Gegner. Doch selbst Vogelschützer warnen, Klima- und Artenschutz gegeneinander auszuspielen. Wie gefährlich Windräder für Vögel sind, klärt der dritte Teil der #Faktenfuchs-Serie zur Windkraft.",Windkraft,Klima & Umwelt
309,br-faktenfuchs,"https://www.br.de/nachrichten/deutschland-welt/volle-flixbusse-kein-beleg-fuer-sozialbetrug-von-ukrainern-faktenfuchs,THrjfYm",Keine Belege für Sozialbetrug von Ukrainern,,"Im Netz verbreitet sich die Falschbehauptung, viele Ukrainer kämen nur nach Deutschland, um das Sozialsystem auszunutzen. Auch CDU-Chef Merz behauptete dies kürzlich. Dafür gibt es aber keine Belege, wie dieser #Faktenfuchs zeigt.",Sozialbetrug,Migration & Asyl
284,br-faktenfuchs,"https://www.br.de/nachrichten/netzwelt/wie-einige-finanz-youtuber-verschwoerungstheorien-bedienen,TYgEitl",Wie einige Finanz-Youtuber Verschwörungstheorien bedienen,,"Great Reset und Geldanlage: Mehrere Youtuber, die sich vordergründig mit Finanzthemen befassen, knüpfen auf ihren Kanälen an Verschwörungstheorien an und schüren Ängste. Dahinter steckt laut Experten ein Geschäftsmodell. Eine #Faktenfuchs-Recherche.",Verschwörungstheorien,Verschwörungstheorien
280,br-faktenfuchs,"https://www.br.de/nachrichten/deutschland-welt/faktenfuchs-warum-sich-manche-erd-regionen-schneller-aufwaermen,TcdEfeO",Warum sich manche Erdregionen schneller aufwärmen,,"Immer wieder berichten Medien über einzelne Gegenden, die sich im Zuge des Klimawandels deutlich schneller erwärmen als ""der Rest der Welt"". Auf Social Media halten User das für Fake News. Kann die Aussage für so viele Regionen gleichzeitig stimmen?",Klimawandel,Klima & Umwelt
264,br-faktenfuchs,"https://www.br.de/nachrichten/wissen/faktenfuchs-messergewalt-und-migration-was-statistik-und-forschung-aussagen,Tpva7EK",Messergewalt und Migration: Was Statistik und Forschung aussagen,,Messerangriffe werden oft mit Migranten in Verbindung gebracht. Doch weder Kriminalstatistiken der Polizei noch Studien können dies aktuell untermauern. Auch sind die Daten nur bedingt aussagekräftig. Ein #Faktenfuchs.,Messerkriminalität,Extremismus & Sicherheit
262,br-faktenfuchs,"https://www.br.de/nachrichten/deutschland-welt/falsche-news-videos-machen-stimmung-gegen-ukrainer-faktenfuchs,Tx1AxVh",Falsche News-Videos machen Stimmung gegen Ukrainer,,"In sozialen Netzwerken kursieren mehrere gefälschte Videos im Stil seriöser Medien, darunter eines, das vorgibt, von BR24 zu sein. In den Fake-Videos werden gezielt ukrainische Geflüchtete diskreditiert. Wie man Fälschungen erkennt: ein #Faktenfuchs.",Desinformation,Desinformation & Falschmeldungen
231,br-faktenfuchs,"https://www.br.de/nachrichten/bayern/es-werden-keine-hyperschall-raketen-in-grafenwoehr-stationiert-ein-faktenfuchs,U2phRZi",Es werden keine Hyperschallraketen in Grafenwöhr stationiert,,"Ein ehemaliger Linken-Abgeordneter behauptet, die USA wollten auf dem Nato-Truppenübungsplatz in der Oberpfalz Waffen stationieren, die Moskau in zehn Minuten erreichen könnten. Das ist falsch. Ein #Faktenfuchs",Waffenstationierung,Politik & Regierung
205,br-faktenfuchs,"https://www.br.de/nachrichten/wissen/klimawandel-corona-wie-entstehen-belastbare-fakten-faktenfuchs,UCk18F7",Klimawandel und Corona: Wie entstehen belastbare Fakten?,,"Hitzig und oft ohne kleinsten gemeinsamen Nenner: In vielen Streits etwa über den Klimawandel oder Corona finden Menschen nicht mehr zusammen. Fakten werden verwechselt mit Meinung. Dieser #Faktenfuchs erklärt, wie Sie sich selbst orientieren können.",Wissenschaftskommunikation,Gesundheit & Wissenschaft
252,br-faktenfuchs,"https://www.br.de/nachrichten/deutschland-welt/ukraine-china-georgien-faktenchecker-unter-druck,UHeEL4f","Ukraine, China, Georgien: Faktenchecker unter Druck",,"In vielen Ländern arbeiten Journalisten unter widrigen Bedingungen. Krieg, Unterdrückung und mangelnde Pressefreiheit betreffen auch viele Faktenchecker, als ""erste Verteidigungslinie"" gegen Lügen. Dem BR erzählen drei von ihnen ihre Geschichte.",Pressefreiheit,Politik & Regierung
191,br-faktenfuchs,"https://www.br.de/nachrichten/deutschland-welt/hurricane-fakes-fluten-tiktok-so-kann-man-sie-erkennen-faktenfuchs,UQnqMkd",Hurrikan-Fakes fluten TikTok - so kann man sie erkennen,,"Hurrikan oder Hollywood? Auf TikTok grassieren angebliche Clips des Hurrikan ""Milton"", die das wahre Ausmaß der Katastrophe verzerren. Hierbei kommt auch KI zum Einsatz. Der #Faktenfuchs erklärt, wie Sie solche Fakes erkennen.",Desinformation,Desinformation & Falschmeldungen
187,br-faktenfuchs,"https://www.br.de/nachrichten/deutschland-welt/faktenfuchs-neuwahl-termin-hat-keine-auswirkung-auf-ruhegehalt,UTuZQsx",Neuwahl-Termin hat keine Auswirkung auf Ruhegehalt,,"Ob Februar oder März: Wann der Bundestag neu gewählt wird, macht für die meisten Bundesminister keinen Unterschied für ihre Altersversorgung – anders als behauptet wird. Viele bekommen sie sowieso, die entlassenen FDP-Minister haben keinen Anspruch.",Ministergehälter,Politik & Regierung
177,br-faktenfuchs,"https://www.br.de/nachrichten/deutschland-welt/faktenfuchs-nein-faktenchecker-zensieren-nicht,UZIwsmj","Nein, Faktenchecker zensieren nicht",,"Der Internetkonzern Meta hat entschieden, in den USA nicht mehr mit Faktencheckern zusammenzuarbeiten. Die Begründung: Mehr Meinungsfreiheit, weniger Zensur. Belege dafür gibt es keine, Faktenchecker widersprechen diesen Anschuldigungen.",Social Media,Online-Sicherheit & Betrug
165,br-faktenfuchs,"https://www.br.de/nachrichten/netzwelt/faktenfuchs-was-steckt-hinter-dem-ki-wahlkampfvideo-der-afd,Uc7jZKZ",Was steckt hinter dem KI-Wahlkampfvideo der AfD?,,Ein KI-generiertes Video der AfD Brandenburg sorgt für Aufsehen. Experten warnen vor langfristigen Folgen solcher Videos für die Gesellschaft. Was steckt hinter der Strategie – und wo liegen die rechtlichen Grenzen?,KI im Wahlkampf,Wahlen & Wahlkampf
154,br-faktenfuchs,"https://www.br.de/nachrichten/netzwelt/faktenfuchs-trump-video-ueber-selenskyjs-kleiderwahl-ist-fake,UeOl6sN",Trump-Video über Selenskyjs Kleiderwahl ist Fake,,"Beim Eklat-Treffen in Washington war auch Selenskyjs Kleidung Thema. Im Nachhinein kursierte ein Video, in dem Trump über Selenskyjs fehlenden Anzug herzieht. Doch das Video ist KI-generiert und stammt von einem Satire-Account.",Desinformation,Desinformation & Falschmeldungen
143,br-faktenfuchs,"https://www.br.de/nachrichten/deutschland-welt/faktenfuchs-falschbehauptungen-schueren-sorgen-um-das-sparkonto,UhxSEjh",Falschbehauptungen schüren Sorgen um das Sparkonto,,"Im Netz verbreiten sich Falschbehauptungen, dass staatliche Akteure angeblich Geld von privaten Sparkonten einziehen könnten. Im Fokus: Die Europäische Union und Friedrich Merz. Ein #Faktenfuchs.",Sparvermögen,Politik & Regierung
133,br-faktenfuchs,"https://www.br.de/nachrichten/wissen/faktenfuchs-bislang-keine-belege-fuer-post-vac-syndrom,UnFGvso","Bislang keine Belege für ""Post-Vac-Syndrom""",,"Kann die Covid-Impfung anhaltend krank machen? Diese Behauptung kursiert im Internet, wissenschaftlich belegt ist das sogenannte ""Post-Vac-Syndrom"" aber bislang nicht. Experten halten es für möglich, Verdachtsfälle sind aber sehr selten.",COVID-19-Impfung,Gesundheit & Wissenschaft
131,br-faktenfuchs,"https://www.br.de/nachrichten/netzwelt/faktenfuchs-diese-5-fakes-zeigen-wie-mit-ki-manipuliert-wird,Ut6gf9H","Diese 5 Fakes zeigen, wie mit KI manipuliert wird",,"Trump und Epstein, eine angebliche Obama-Verhaftung oder der Air India-Absturz – realistisch wirkende KI-Fakes kursieren zu allen möglichen Themen. Dabei geht es nicht immer um Täuschung. Der #Faktenfuchs gibt einen Überblick.",Künstliche Intelligenz,Künstliche Intelligenz
576,br-faktenfuchs,"https://www.br.de/nachrichten/bayern/wie-tiktok-videos-kriegsangst-in-bayern-schueren-faktenfuchs,UyvX1b9",Wie Tiktok-Videos Kriegsangst in Bayern schüren,,"Angebliche Angriffspläne auf das Taurus-Werk in Schrobenhausen oder die mutmaßlichen Auswirkungen einer russischen Invasion – mit solchen Behauptungen schüren TikTok-Accounts Ängste. Welche Strategien dahinterstecken, zeigt dieser #Faktenfuchs.",Desinformation,Desinformation & Falschmeldungen
101,correctiv,https://correctiv.org/faktencheck/2025/02/28/prognose-hochrechnung-ergebnis-immer-wieder-verwirrung-um-18-uhr-am-wahlabend/,"Prognose, Hochrechnung, Ergebnis: Immer wieder Verwirrung um 18 Uhr am Wahlabend",BUNDESTAGSWAHL 2025,"Wie schon bei vergangenen Wahlen wunderten sich Nutzerinnen und Nutzer über die Berichterstattung am Abend der Bundestagswahl: Wie kann um 18 Uhr das „Wahlergebnis“ feststehen, wenn die Stimmen noch nicht ausgezählt sind? Doch hier werden Prognosen und Ergebnisse durcheinandergeworfen.",Wahlberichterstattung,Wahlen & Wahlkampf
93,correctiv,https://correctiv.org/faktencheck/2025/03/07/us-hilfsgelder-aussage-von-selenskyj-belegt-keinen-skandal-um-200-milliarden-euro/,US-Hilfsgelder: Aussage von Selenskyj belegt keinen Skandal um 200 Milliarden Euro,FAKTENCHECK,"Ein Zitat des ukrainischen Präsidenten Wolodymyr Selenskyj wird im Netz irreführend wiedergegeben: Er sagte nicht, dass 200 Milliarden Euro an US-Hilfsgeldern „verschwunden“ seien. Er sagte, dass die Ukraine keine Militärhilfen in dieser Höhe von den USA erhalten habe.",Ukraine-Krieg,Ukraine-Konflikt
84,correctiv,https://correctiv.org/faktencheck/2025/03/21/katzen-gewinnspiel-von-action-statt-sonderpreisen-droht-datenklau/,Katzen-Gewinnspiel von Action: Statt Sonderpreisen droht Datenklau,FAKTENCHECK,"Der niederländische Discounter Action soll angeblich Sonderpreise wie Gutscheine und iPhones an Menschen verlosen, die die Anzahl der Katzen auf einem Bild richtig erraten. Es gibt nichts zu gewinnen, aber preisgeben muss man viel – die eigenen Daten.",Datendiebstahl,Online-Sicherheit & Betrug
75,correctiv,https://correctiv.org/faktencheck/2025/03/28/nein-der-tag-der-deutschen-einheit-soll-nicht-abgeschafft-werden/,"Nein, der Tag der Deutschen Einheit soll nicht abgeschafft werden",FAKTENCHECK,"Plant die Bundesregierung, den Tag der Deutschen Einheit abzuschaffen, um die Wirtschaftskraft anzukurbeln? Das wird aktuell auf Tiktok behauptet. Wir haben bei allen Parteien nachgefragt, ob es wirklich solche Pläne gibt.",Tag der Deutschen Einheit,Politik & Regierung
67,correctiv,https://correctiv.org/faktencheck/2025/04/04/satire-ernst-genommen-tiktok-verbietet-nicht-das-blaue-herz-emoji/,Satire ernst genommen: Tiktok verbietet nicht das blaue Herz-Emoji,FAKTENCHECK,"Auf Tiktok herrscht Empörung darüber, dass die Plattform angeblich das unter AfD-Unterstützern beliebte blaue Herz-Emoji verbieten will. Doch die Meldung stimmt nicht.",Satire,Online-Sicherheit & Betrug
58,correctiv,https://correctiv.org/faktencheck/2025/04/23/nach-tod-von-papst-franziskus-fake-video-mit-donald-trump-kursiert-erneut-auf-tiktok/,Nach Tod von Papst Franziskus: Fake-Video mit Donald Trump kursiert erneut auf Tiktok,FAKTENCHECK,"Kaum verbreitet sich die Nachricht, dass Papst Franziskus gestorben ist, kursiert eine alte Falschbehauptung in Sozialen Netzwerken. Ein manipuliertes Comedy-Video soll zeigen, wie der Papst die Hand von Donald Trump ausgeschlagen habe.",Manipulierte Videos,Desinformation & Falschmeldungen
49,correctiv,https://correctiv.org/faktencheck/2025/05/06/versprochene-hilfe-fuers-ahrtal-sharepic-verwendet-alte-zahlen/,Versprochene Hilfe fürs Ahrtal: Sharepic verwendet alte Zahlen,FAKTENCHECK,"Online verbreiten sich angebliche Zahlen zu Hilfsgeldern aus dem Aufbaufonds für das Ahrtal. Demnach sollen nur 0,8 der 15 Milliarden Euro versprochener Hilfsgelder ausgezahlt worden sein. Doch die Zahlen sind veraltet.",Hochwasser,Klima & Umwelt
41,correctiv,https://correctiv.org/faktencheck/2025/05/15/russische-spione-mit-pentagon-kontakt-im-handy-keine-belege-fuer-angebliche-verhaftung/,Russische Spione mit Pentagon-Kontakt im Handy? Keine Belege für angebliche Verhaftung,FAKTENCHECK,"US-Verteidigungsminister Pete Hegseth teilte Informationen zu Militärschlägen in einem Gruppenchat und sorgte so für einen Skandal. Wochen später heißt es auf X, zwei russische Spione mit Hegseths Nummer auf ihren Telefonen seien Ende April vom deutschen Geheimdienst festgenommen worden. Doch laut den zuständigen Behörden gibt es den Fall nicht.",Spionage,Online-Sicherheit & Betrug
32,correctiv,https://correctiv.org/faktencheck/polizei/2025/06/10/mutmasslicher-amoklauf-an-schule-video-mit-allahu-akbar-rufen-zeigt-nicht-angriff-in-graz/,Amoklauf an Schule: Video mit „Allahu Akbar“-Rufen zeigt nicht Angriff in Graz,FAKTENCHECK,"Nach einem Amoklauf an einer österreichischen Schule kursieren online auch Videos im falschen Kontext. Worauf in Krisensituationen zu achten ist, wenn man Inhalte teilt.",Amoklauf,Online-Sicherheit & Betrug
23,correctiv,https://correctiv.org/faktencheck/2025/06/19/ukraine-russland-angriff-flugzeuge-in-ki-video-haben-nichts-mit-operation-spiderweb-zu-tun/,Angriff der Ukraine auf russische Flugzeuge: KI-Video hat nichts mit „Operation Spiderweb“ zu tun,FAKTENCHECK,"Anfang Juni griff die Ukraine mit Drohnen Militär-Flugplätze in Russland an. Neben authentischen Aufnahmen kursiert in Sozialen Netzwerken auch eine Aufnahme, die künstlich erstellt wurde. Einige erkannten das nicht.",Ukraine-Krieg,Ukraine-Konflikt
14,correctiv,https://correctiv.org/faktencheck/2025/07/09/tiktok-video-zeigt-keinen-aktuellen-tornado-in-deutschland/,Tiktok-Video zeigt keinen aktuellen Tornado in Deutschland,FAKTENCHECK,"Ein Tiktok-Video vom 2. Juli soll einen Tornado zeigen, der über Deutschland hinwegfegt. Unser Faktencheck zeigt: Das Videomaterial ist mindestens zwei Jahre alt.",Unwetter,Klima & Umwelt
6,correctiv,https://correctiv.org/faktencheck/2025/07/24/essen-angebot-zu-angeblichem-vrr-jubilaeum-ist-gefaelscht/,"ÖPNV in Essen: Diese Betrugsmasche steckt hinter dem Sechs-Monats-Ticket für 2,35 Euro",FAKTENCHECK,"Eine Fahrkarte für sechs Monate, die nur 2,35 Euro kosten soll: Dafür wirbt ein Facebook-Beitrag der Seite „ÖPNV Essen“. Hinter dem angeblichen Angebot steckt eine internationale Betrugsmasche, bei der es um Datendiebstahl geht.",Phishing,Online-Sicherheit & Betrug
567,correctiv,https://correctiv.org/faktencheck/2025/08/12/bekannter-telegram-account-unn-verbreitet-erfundenes-zitat-von-lars-klingbeil-ueber-deutsche-rentner/,Bekannter Telegram-Account verbreitet erfundenes Zitat von Lars Klingbeil über deutsche Rentner,POLITIK,"Ein bekannter Verbreiter von Fake-Zitaten behauptet, Lars Klingbeil habe gesagt, er würde sich für die deutschen Rentner schämen, weil sie so faul seien. Das Zitat ist frei erfunden und der Kanal hat Verbindungen zur russischen Propaganda.",Rentenpolitik,Politik & Regierung
558,correctiv,https://correctiv.org/faktencheck/2025/09/10/irrefuehrender-kettenbrief-was-die-ki-auf-whatsapp-darf-und-was-nicht/,Irreführender Kettenbrief: Was die KI auf Whatsapp darf – und was nicht,GESELLSCHAFT,"Ein Kettenbrief warnt in Sozialen Netzwerken vor der Meta KI auf Whatsapp. Die habe angeblich Zugriff auf alle Chats, doch das stimmt nicht. Fachleute kritisieren die Meta-KI zwar für Datenschutzrisiken und die Speicherung vieler Daten, aber Nutzerinnen und Nutzer können sich davor schützen.",Datenschutz,Online-Sicherheit & Betrug
550,correctiv,https://correctiv.org/faktencheck/2025/09/30/nein-die-simpsons-haben-charlie-kirks-tod-nicht-vorhergesagt/,"Nein, die „Simpsons“ haben Charlie Kirks Tod nicht vorhergesagt",GESELLSCHAFT,"Immer wieder wird behauptet, die Cartoon-Serie „Simpsons“ würde wichtige Weltereignisse vorwegnehmen. In einer aktuellen Version der Erzählung soll es Folgen geben, die das Attentat auf Charlie Kirk zeigen. Das ist falsch.",Charlie Kirk,Online-Sicherheit & Betrug
541,correctiv,https://correctiv.org/faktencheck/2025/10/16/extra-feiertage-fuer-muslime-in-schleswig-holstein-behauptung-fehlt-kontext/,Extra Feiertage für Muslime in Schleswig-Holstein? Behauptung fehlt Kontext,GESELLSCHAFT,"Online empören sich manche über eine angebliche „Islamisierung“, weil Musliminnen und Muslime in Schleswig-Holstein zwei neue Feiertage erhalten würden. Den Beiträgen fehlt wichtiger Kontext: Es handelt sich nicht um gesetzliche Feiertage.",Religiöse Feiertage,Politik & Regierung
532,correctiv,https://correctiv.org/faktencheck/2025/10/30/kettenbrief-macht-falsche-angaben-zu-kontosperrungen-auf-snapchat/,Kettenbrief macht falsche Angaben zu Kontosperrungen auf Snapchat,WIRTSCHAFT UND UMWELT,"Ein Kettenbrief auf Whatsapp will Nutzende von Snapchat ängstigen. Denen drohe die Sperrung ihrer Konten, wenn sie eine Nachricht nicht an 20 Kontakte weiterleiten, heißt es. Das ist frei erfunden.",Kettenbriefe,Online-Sicherheit & Betrug
524,correctiv,https://correctiv.org/faktencheck/2025/11/13/iran-hijab-pflicht-wurde-nicht-aufgehoben/,Iran: Hijab-Pflicht wurde nicht aufgehoben,NAHER OSTEN,"Auf X heißt es, im Iran sei das Tragen des Kopftuches für Frauen jetzt freiwillig. Das stimmt nicht – ein Video, das dieses Gerücht belegen soll, ist drei Jahre alt.",Hijab-Pflicht Iran,
